[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 195 common.php 第 281 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 196 common.php 第 281 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 197 common.php 第 281 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 198 common.php 第 281 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 194 common.php 第 356 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 195 common.php 第 356 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 196 common.php 第 356 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 197 common.php 第 356 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 198 common.php 第 356 行.
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '14' )  [ RunTime:0.012173s ]
[ 2013-02-26T11:45:22+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 199 common.php 第 272 行.
